,mix,SDR,SIR,SAR,PESQ
32,mix_38,"[[-18.92418673791521], [-18.21239936365266]]","[[1.827191278892024], [0.41937428685184175]]","[[-16.695405230386804], [-15.346802584569446]]","[1.0344699621200562, 1.0255361795425415]"
33,mix_39,"[[-12.553228360100935], [-18.48539842196591]]","[[6.92801960716004], [1.732147623757231]]","[[-11.701857469702064], [-16.213876789358633]]","[1.039814829826355, 1.0470107793807983]"
34,mix_4,"[[-15.832820686613328], [-17.485780516180288]]","[[1.7656803090452673], [-1.1227937128491086]]","[[-13.54007793171749], [-13.776379399391246]]","[1.0357598066329956, 1.114884376525879]"
35,mix_40,"[[-21.465522529573462], [-19.096758923475598]]","[[-0.3536109984785802], [1.5106791426920807]]","[[-18.24106865408044], [-16.738515591071813]]","[1.0275293588638306, 1.0276199579238892]"
36,mix_41,"[[-17.280905428086964], [-17.81835089708231]]","[[3.667511203549277], [-0.5686282323572807]]","[[-15.69315471810459], [-14.431845599979528]]","[1.0234088897705078, 1.0316728353500366]"
37,mix_42,"[[-8.326141003104974], [-20.27305626009283]]","[[11.916599378345307], [-4.510244165503727]]","[[-8.014158331913034], [-14.329928566530414]]","[1.0339981317520142, 1.6399075984954834]"
38,mix_43,"[[-20.48158206526621], [-22.19225595691158]]","[[4.078507846911958], [2.0222173651566338]]","[[-19.033163918227], [-20.05992379579949]]","[1.682800054550171, 1.0183300971984863]"
39,mix_44,"[[-23.01464180049269], [-26.048211643830562]]","[[1.1847658516034811], [-0.796434677062726]]","[[-20.539903412561916], [-22.608483592600685]]","[1.0471495389938354, 1.0253889560699463]"
40,mix_45,"[[-19.11127256255149], [-20.10310800690131]]","[[2.0660078200430747], [0.646980471893151]]","[[-16.97901936433753], [-17.36756642995517]]","[1.025052547454834, 1.1801146268844604]"
41,mix_46,"[[-17.01992748542629], [-21.245915034023884]]","[[4.444350341116522], [-0.5910692315006967]]","[[-15.655378684132582], [-17.892520415706574]]","[1.0864763259887695, 1.0335062742233276]"
42,mix_47,"[[-17.645587528094925], [-17.298258215792632]]","[[2.427817909176546], [6.89535716279294]]","[[-15.63879617699168], [-16.47401166503578]]","[1.0570341348648071, 1.0794576406478882]"
43,mix_48,"[[-17.06819001921388], [-12.715161834433113]]","[[2.880891042989849], [6.913262407852367]]","[[-15.219545820334037], [-11.862947621145185]]","[1.0365859270095825, 1.0316706895828247]"
44,mix_49,"[[-19.86035268426], [-15.521373052551912]]","[[-3.4070472844854107], [4.101908069805061]]","[[-14.721250058604776], [-14.04711874219214]]","[1.0246000289916992, 1.024693489074707]"
45,mix_5,"[[-21.97131239610158], [-21.190554293100192]]","[[-2.220919898722899], [3.4799093812273316]]","[[-17.663860681690313], [-19.56576398509496]]","[1.0772297382354736, 1.0221234560012817]"
46,mix_50,"[[-16.643632264522083], [-19.4727008210069]]","[[2.8825492065307974], [3.629388296316346]]","[[-14.791009307937353], [-17.887193090790774]]","[1.0199000835418701, 1.0207104682922363]"
47,mix_51,"[[-17.454300976637327], [-16.00201015254482]]","[[3.3490184456918834], [4.571148375838624]]","[[-15.767138900678505], [-14.66350838217981]]","[1.025618553161621, 1.022597074508667]"
48,mix_52,"[[-18.641915777191656], [-19.446103569358996]]","[[-0.639843623463649], [0.6939449076308857]]","[[-15.230572218966586], [-16.726674177102062]]","[1.0269420146942139, 1.0635583400726318]"
49,mix_53,"[[-16.669099257161463], [-21.31680103051785]]","[[4.012802426445771], [0.7801223931086577]]","[[-15.180057886303027], [-18.652188741432717]]","[1.0208977460861206, 1.0906479358673096]"
50,mix_54,"[[-12.561543988162454], [-23.744294728158096]]","[[6.832333941877353], [-1.9442954733817206]]","[[-11.692881364294536], [-19.625149611791937]]","[1.0245918035507202, 1.0475205183029175]"
51,mix_55,"[[-16.22277462129572], [-21.145952713168896]]","[[4.460549811862306], [-1.5415245633208592]]","[[-14.856347396658322], [-17.249017808943982]]","[1.072813868522644, 1.0714250802993774]"
52,mix_56,"[[-23.443361593196663], [-24.6077665276123]]","[[3.7300120341576126], [-2.9267696768362006]]","[[-21.901020113635195], [-19.862470692029675]]","[1.0320754051208496, 1.0369642972946167]"
53,mix_57,"[[-20.11124026835082], [-20.8103660001254]]","[[-0.559611258861742], [3.414201440152975]]","[[-16.763705580896357], [-19.163508221633773]]","[1.0360146760940552, 1.0215122699737549]"
54,mix_58,"[[-23.153053012669147], [-20.413471550839958]]","[[1.517115290539309], [1.6636846858617975]]","[[-20.820555753410336], [-18.12882792258048]]","[1.0407910346984863, 1.036075472831726]"
55,mix_59,"[[-18.444531313347], [-16.834084598867534]]","[[1.2475396733939168], [2.2405298564757095]]","[[-15.96648629551752], [-14.747059134346113]]","[1.0625898838043213, 1.0328975915908813]"
56,mix_6,"[[-20.741954953524065], [-19.29418189716026]]","[[0.19127812767525595], [2.705241112316626]]","[[-17.79106734176934], [-17.401691274431535]]","[1.0200233459472656, 1.0222493410110474]"
57,mix_60,"[[-19.89559350795862], [-19.412564888579666]]","[[0.5900392152579624], [0.15090133602939176]]","[[-17.131290930648994], [-16.428771035781345]]","[1.0798029899597168, 1.061608076095581]"
58,mix_61,"[[-13.815309179145853], [-12.96568251537865]]","[[4.2453194861360375], [6.022271408387992]]","[[-12.359946143847779], [-11.941741325188307]]","[1.0336992740631104, 1.052489995956421]"
59,mix_62,"[[-16.4825738411935], [-21.14757773944575]]","[[4.001236021191903], [0.5832940995262388]]","[[-14.988495207018692], [-18.389887293868785]]","[1.0401796102523804, 1.034434199333191]"
